date,fng_value,fng_classification
2019-12-09,39,Fear
2019-12-08,48,Neutral
2019-12-07,33,Fear
2019-12-06,60,Greed
2019-12-05,75,Greed
2019-12-04,42,Fear
2019-12-03,56,Greed
2019-12-02,38,Fear
2019-12-01,22,Extreme Fear
2019-11-12,20,Extreme Fear
2019-11-11,40,Fear
2019-11-10,39,Fear
2019-11-09,38,Fear
2019-11-08,45,Fear
2019-11-07,62,Greed
2019-11-06,61,Greed
2019-11-05,76,Extreme Greed
2019-11-04,65,Greed
2019-11-03,56,Greed
2019-11-02,46,Fear
2019-11-01,19,Extreme Fear
2019-10-12,26,Fear
2019-10-11,39,Fear
2019-10-10,41,Fear
2019-10-09,41,Fear
2019-10-08,59,Greed
2019-10-07,83,Extreme Greed
2019-10-06,46,Fear
2019-10-05,71,Greed
2019-10-04,62,Greed
2019-10-03,55,Greed
2019-10-02,40,Fear
2019-10-01,37,Fear
2019-09-12,32,Fear
2019-09-11,38,Fear
2019-09-10,37,Fear
2019-09-09,41,Fear
2019-09-08,60,Greed
2019-09-07,84,Extreme Greed
2019-09-06,62,Greed
2019-09-05,69,Greed
2019-09-04,64,Greed
2019-09-03,55,Greed
2019-09-02,42,Fear
2019-09-01,42,Fear
2019-08-12,28,Fear
2019-08-11,42,Fear
2019-08-10,39,Fear
2019-08-09,43,Fear
2019-08-08,61,Greed
2019-08-07,74,Greed
2019-08-06,62,Greed
2019-08-05,63,Greed
2019-08-04,65,Greed
2019-08-03,54,Neutral
2019-08-02,37,Fear
2019-08-01,39,Fear
2019-07-12,32,Fear
2019-07-11,54,Neutral
2019-07-10,27,Fear
2019-07-09,39,Fear
2019-07-08,45,Fear
2019-07-07,67,Greed
2019-07-06,27,Fear
2019-07-05,69,Greed
2019-07-04,69,Greed
2019-07-03,56,Greed
2019-07-02,18,Extreme Fear
2019-07-01,39,Fear
2019-06-12,29,Fear
2019-06-11,53,Neutral
2019-06-10,32,Fear
2019-06-09,43,Fear
2019-06-08,66,Greed
2019-06-07,72,Greed
2019-06-06,34,Fear
2019-06-05,57,Greed
2019-06-04,65,Greed
2019-06-03,42,Fear
2019-06-02,14,Extreme Fear
2019-06-01,31,Fear
2019-05-12,21,Extreme Fear
2019-05-11,54,Neutral
2019-05-10,31,Fear
2019-05-09,41,Fear
2019-05-08,64,Greed
2019-05-07,67,Greed
2019-05-06,27,Fear
2019-05-05,67,Greed
2019-05-04,59,Greed
2019-05-03,35,Fear
2019-05-02,21,Extreme Fear
2019-05-01,36,Fear
2019-04-12,24,Extreme Fear
2019-04-11,49,Neutral
2019-04-10,30,Fear
2019-04-09,43,Fear
2019-04-08,62,Greed
2019-04-07,76,Extreme Greed
2019-04-06,42,Fear
2019-04-05,66,Greed
2019-04-04,61,Greed
2019-04-03,36,Fear
2019-04-02,27,Fear
2019-04-01,48,Neutral
2019-03-12,28,Fear
2019-03-11,56,Greed
2019-03-10,37,Fear
2019-03-09,41,Fear
2019-03-08,61,Greed
2019-03-07,79,Extreme Greed
2019-03-06,66,Greed
2019-03-05,63,Greed
2019-03-04,71,Greed
2019-03-03,44,Fear
2019-03-02,19,Extreme Fear
2019-03-01,33,Fear
2019-02-12,28,Fear
2019-02-11,51,Neutral
2019-02-10,39,Fear
2019-02-09,28,Fear
2019-02-08,61,Greed
2019-02-07,63,Greed
2019-02-06,63,Greed
2019-02-05,50,Neutral
2019-02-04,60,Greed
2019-02-03,41,Fear
2019-02-02,22,Extreme Fear
2019-02-01,30,Fear
2019-01-12,25,Extreme Fear
2019-01-11,49,Neutral
2019-01-10,38,Fear
2019-01-09,24,Extreme Fear
2019-01-08,57,Greed
2019-01-07,65,Greed
2019-01-06,62,Greed
2019-01-05,51,Neutral
2019-01-04,62,Greed
2019-01-03,42,Fear
2019-01-02,23,Extreme Fear
2019-01-01,24,Extreme Fear
2018-12-12,14,Extreme Fear
2018-12-11,52,Neutral
2018-12-10,13,Extreme Fear
2018-12-09,14,Extreme Fear
2018-12-08,18,Extreme Fear
2018-12-07,33,Fear
2018-12-06,19,Extreme Fear
2018-12-05,44,Fear
2018-12-04,18,Extreme Fear
2018-12-03,41,Fear
2018-12-02,42,Fear
2018-11-12,15,Extreme Fear
2018-11-11,54,Neutral
2018-11-10,19,Extreme Fear
2018-11-09,18,Extreme Fear
2018-11-08,18,Extreme Fear
2018-11-07,29,Fear
2018-11-06,15,Extreme Fear
2018-11-05,41,Fear
2018-11-04,20,Extreme Fear
2018-11-03,40,Fear
2018-11-02,31,Fear
2018-10-12,19,Extreme Fear
2018-10-11,52,Neutral
2018-10-10,28,Fear
2018-10-09,15,Extreme Fear
2018-10-08,21,Extreme Fear
2018-10-07,37,Fear
2018-10-06,24,Extreme Fear
2018-10-05,63,Greed
2018-10-04,18,Extreme Fear
2018-10-03,39,Fear
2018-10-02,54,Neutral
2018-09-12,14,Extreme Fear
2018-09-11,47,Neutral
2018-09-10,31,Fear
2018-09-09,13,Extreme Fear
2018-09-08,19,Extreme Fear
2018-09-07,39,Fear
2018-09-06,39,Fear
2018-09-05,53,Neutral
2018-09-04,21,Extreme Fear
2018-09-03,37,Fear
2018-09-02,44,Fear
2018-08-12,11,Extreme Fear
2018-08-11,51,Neutral
2018-08-10,26,Fear
2018-08-09,18,Extreme Fear
2018-08-08,23,Extreme Fear
2018-08-07,38,Fear
2018-08-06,40,Fear
2018-08-05,62,Greed
2018-08-04,17,Extreme Fear
2018-08-03,39,Fear
2018-08-02,30,Fear
2018-07-12,11,Extreme Fear
2018-07-11,48,Neutral
2018-07-10,29,Fear
2018-07-09,17,Extreme Fear
2018-07-08,25,Extreme Fear
2018-07-07,34,Fear
2018-07-06,38,Fear
2018-07-05,56,Greed
2018-07-04,20,Extreme Fear
2018-07-03,37,Fear
2018-07-02,36,Fear
2018-06-12,13,Extreme Fear
2018-06-11,42,Fear
2018-06-10,34,Fear
2018-06-09,14,Extreme Fear
2018-06-08,25,Extreme Fear
2018-06-07,34,Fear
2018-06-06,42,Fear
2018-06-05,67,Greed
2018-06-04,19,Extreme Fear
2018-06-03,59,Greed
2018-06-02,8,Extreme Fear
2018-05-12,19,Extreme Fear
2018-05-11,42,Fear
2018-05-10,37,Fear
2018-05-09,17,Extreme Fear
2018-05-08,23,Extreme Fear
2018-05-07,37,Fear
2018-05-06,26,Fear
2018-05-05,63,Greed
2018-05-04,17,Extreme Fear
2018-05-03,55,Greed
2018-05-02,11,Extreme Fear
2018-04-12,12,Extreme Fear
2018-04-11,41,Fear
2018-04-10,29,Fear
2018-04-09,26,Fear
2018-04-08,31,Fear
2018-04-07,33,Fear
2018-04-06,41,Fear
2018-04-05,56,Greed
2018-04-04,22,Extreme Fear
2018-04-03,44,Fear
2018-04-02,24,Extreme Fear
2018-03-12,17,Extreme Fear
2018-03-11,36,Fear
2018-03-10,36,Fear
2018-03-09,19,Extreme Fear
2018-03-08,36,Fear
2018-03-07,31,Fear
2018-03-06,40,Fear
2018-03-05,55,Greed
2018-03-04,22,Extreme Fear
2018-03-03,56,Greed
2018-03-02,40,Fear
2018-02-12,15,Extreme Fear
2018-02-11,36,Fear
2018-02-10,33,Fear
2018-02-09,18,Extreme Fear
2018-02-08,39,Fear
2018-02-07,27,Fear
2018-02-06,27,Fear
2018-02-05,52,Neutral
2018-02-04,11,Extreme Fear
2018-02-03,47,Neutral
2018-02-02,15,Extreme Fear
2018-01-12,13,Extreme Fear
2018-01-11,29,Fear
2018-01-10,35,Fear
2018-01-09,21,Extreme Fear
2018-01-08,39,Fear
2018-01-07,27,Fear
2018-01-06,24,Extreme Fear
2018-01-05,56,Greed
2018-01-04,16,Extreme Fear
2018-01-03,38,Fear
2018-01-02,30,Fear
